time,S,q1,Q10
2.636713981628418,0.00999999999476131,2.50123,8.803519999999999
5.978161811828613,0.00999999999476131,1.24058,7.489939999999999
9.318701028823853,0.00999999999476131,0.95361,7.05924
12.663211584091187,0.00999999999476131,3.35111,9.249600000000001
16.011971712112427,0.00999999999476131,0.93911,6.14437
19.356411933898926,0.010000000009313226,5.06512,11.62433
22.699588775634766,0.010000000009313226,4.69724,11.72637
26.040114879608154,0.00999999999476131,0.75147,10.748339999999999
29.38052773475647,0.00999999999476131,1.83489,12.143599999999998
32.71993279457092,0.00999999999476131,0.00103,15.99626
36.05939078330994,0.00999999999476131,0.64232,13.692609999999998
39.40722465515137,0.00999999999476131,2.49366,14.218610000000002
42.75032091140747,0.00999999999476131,1.77931,13.54163
46.09380578994751,0.00999999999476131,1.58749,13.882330000000001
49.434241771698,0.010000000009313226,3.00626,13.903199999999998
52.77228283882141,0.010000000009313226,2.87713,15.274319999999998
56.11964678764343,0.010000000009313226,2.1662,14.616510000000002
59.460564851760864,0.00999999999476131,1.23647,15.698409999999999
62.80305576324463,0.00999999999476131,0.0023,16.16869
66.15057373046875,0.00999999999476131,0.0014,20.30846
69.50530099868774,0.00999999999476131,1.66285,19.6185
72.85251188278198,0.00999999999476131,1.33202,6.106579999999999
76.20492959022522,0.00999999999476131,1.94827,7.708729999999999
79.54243087768555,0.00999999999476131,0.87057,9.032810000000001
82.8847587108612,0.00999999999476131,1.04007,9.17744
86.2266628742218,0.00999999999476131,1.41884,7.384369999999999
89.56667280197144,0.00999999999476131,2.21309,6.5576799999999995
92.90811276435852,0.00999999999476131,0.04272,7.62944
96.25253367424011,0.00999999999476131,0.75541,11.21375
99.59399676322937,0.00999999999476131,0.62245,8.313339999999998
